user_id,age,annual_income,purchase_amount,loyalty_score,region,purchase_frequency
331,27,44500,260,4.8,North,15
332,28,44000,240,4.1,North,13
333,31,47500,300,4.7,North,16
334,41,61000,490,8.0,South,21
335,40,60500,490,7.9,South,21
336,42,62500,490,7.6,West,21
337,25,44500,240,4.3,North,14
338,33,52000,340,5.7,West,18
339,37,55500,380,6.4,North,18
340,53,73000,610,9.1,West,27
341,32,51000,380,5.8,South,18
342,44,65000,490,7.9,South,21
343,39,59500,440,7.0,North,20
344,51,69500,600,9.2,West,25
345,46,66000,520,8.4,North,22
346,31,49500,330,5.9,South,17
347,50,71500,600,9.0,North,24
348,29,45000,240,4.0,North,14
349,54,74500,640,9.5,West,28
350,52,74000,630,9.5,West,27
351,39,58000,420,6.7,East,20
352,30,46000,260,4.2,North,14
353,24,32000,170,3.3,South,11
354,55,75000,640,9.5,West,28
355,46,66000,510,8.1,North,22
356,49,69500,600,9.1,North,25
357,26,40500,190,3.7,North,13
358,24,32000,180,3.6,South,12
359,32,51000,300,5.8,North,17
360,42,63500,470,7.5,West,21
361,42,64000,550,8.4,South,23
362,26,46000,200,4.5,West,12
363,40,62500,480,7.5,North,22
364,23,30000,150,3.2,West,12
365,43,62000,490,7.7,West,23
366,28,42500,210,3.5,North,12
367,32,53500,370,5.8,West,18
368,40,59500,470,7.7,South,21
369,30,49000,320,5.6,South,17
370,43,62500,460,7.6,South,20
371,51,71500,600,9.3,West,26
372,31,50500,330,5.4,West,17
373,48,67500,570,8.8,West,23
374,51,70000,590,8.9,North,24
375,41,61000,460,7.6,South,22
376,30,47500,290,4.9,North,16
377,31,49500,330,5.7,West,16
378,46,67000,520,8.5,South,23
379,27,47000,270,4.5,North,16
380,30,49500,260,5.3,North,14
381,40,57500,450,7.1,South,21
382,32,53000,380,6.1,South,18
383,38,60000,440,7.1,East,21
384,40,57000,450,7.4,West,20
385,35,52500,390,6.4,North,18
386,37,58500,420,6.8,West,20
387,47,66500,500,8.0,North,22
388,34,57000,360,7.1,South,19
389,32,52000,360,6.0,South,17
390,30,53000,360,5.7,North,18
391,43,63500,480,7.7,South,21
392,23,31000,150,3.2,South,10
393,36,56500,410,6.8,East,20
394,24,44000,180,4.1,West,11
395,29,48500,270,4.2,North,15
396,37,53000,390,6.3,North,18
397,30,49500,300,4.8,North,16
398,49,70000,600,9.1,West,26
399,31,51000,340,5.4,North,18
400,28,48500,280,4.6,South,15
401,38,60500,430,6.7,North,19
402,29,45000,260,4.2,North,14
403,26,45000,260,4.4,East,16
404,51,72000,630,9.3,North,25
405,33,52000,360,5.7,North,18
406,30,49500,310,5.3,South,17
407,48,68500,540,8.5,North,22
408,55,75000,610,9.2,South,26
409,46,66500,520,8.2,South,24
410,30,51500,350,5.7,South,18
411,38,59000,410,6.8,North,20
412,29,48000,280,4.9,West,15
413,29,46000,280,4.5,North,15
414,24,33500,190,3.6,South,12
415,30,49000,280,4.6,North,15
416,23,30000,150,3.1,South,10
417,48,67000,540,8.6,North,23
418,39,60500,450,7.0,East,20
419,54,72000,590,8.9,South,26
420,36,57000,430,6.9,West,20
421,50,70000,590,9.0,West,25
422,29,43000,230,4.1,North,14
423,30,50000,320,5.4,North,16
424,47,68000,520,8.3,North,22
425,37,52500,390,6.2,West,19
426,40,60000,460,7.4,South,20
427,38,59000,430,6.8,West,20
428,32,52000,370,6.0,North,18
429,53,73500,630,9.5,West,28
430,37,52000,390,6.5,South,19
431,50,69500,590,9.0,West,25
432,35,56500,390,6.4,West,19
433,49,70000,610,9.2,North,26
434,30,51000,300,5.0,North,17
435,24,30500,150,3.0,South,10
436,49,66500,560,8.6,West,25
437,25,32000,190,3.6,South,12
438,26,41500,200,3.6,North,15
439,37,56500,400,6.7,East,19
440,26,46500,280,4.8,North,16
441,30,51000,310,4.9,South,18
442,24,42000,220,4.0,North,13
443,31,50000,360,5.8,South,18
444,27,44000,210,3.9,North,12
445,52,72000,590,9.0,South,26
446,33,52500,360,5.8,South,17
447,22,31000,170,3.4,South,12
448,49,69500,590,8.8,North,26
449,33,53500,380,5.9,South,18
450,48,66000,580,8.7,North,24
451,32,51500,320,5.3,West,17
452,24,44000,190,4.2,West,11
453,43,62500,520,8.2,South,23
454,37,58500,420,6.7,West,20
455,49,70000,550,8.6,North,25
456,25,42000,220,3.8,North,13
457,34,53500,370,5.8,South,17
458,26,44000,230,3.9,North,14
459,28,45000,270,4.8,North,14
460,45,65000,500,8.0,South,22
461,38,58500,430,6.8,North,21
462,51,72000,610,9.1,West,25
463,52,73500,640,9.5,West,26
464,23,32500,160,3.1,South,10
465,41,63000,510,8.0,West,23
466,50,69000,580,8.8,West,24
467,28,45500,250,4.3,North,13
468,51,70000,590,8.6,West,23
469,48,69000,580,8.8,West,26
470,25,41500,210,3.9,North,12
471,42,62000,480,7.6,West,22
472,55,75000,640,9.5,South,26
473,33,53000,390,6.0,West,18
474,49,68000,570,8.9,West,24
475,33,54500,340,6.8,South,18
476,55,74500,620,9.5,South,26
477,29,45000,260,4.3,North,14
478,32,51000,340,5.6,South,17
479,26,46500,210,4.7,North,12
480,43,62500,500,8.2,South,22
481,49,67500,520,8.0,West,21
482,41,60500,470,7.6,South,19
483,33,54000,390,6.0,South,17
484,43,60500,430,7.3,South,18
485,39,60000,450,7.0,North,21
486,27,45500,250,4.1,North,15
487,37,57500,410,6.7,North,20
488,36,56000,380,6.2,East,19
489,45,64500,500,8.1,West,22
490,29,48500,290,4.8,North,16
491,50,68500,580,8.7,West,24
492,50,71500,600,9.0,West,25
493,51,73000,620,9.2,West,25
494,34,52500,380,6.2,North,18
495,28,44500,220,3.9,North,13
496,50,69000,590,8.9,North,25
497,48,68000,570,8.6,West,24
498,55,74500,640,9.4,South,28
499,41,61000,470,7.7,South,21
500,30,50500,320,5.1,West,17
501,54,72000,610,9.3,South,27
502,36,53500,390,6.1,North,19
503,26,46000,240,4.2,North,13
504,51,72000,620,9.2,West,26
505,36,53000,390,6.4,West,18
506,38,56000,420,6.7,North,19
507,24,31500,180,3.3,South,11
508,39,60000,440,6.9,North,21
509,52,72000,600,9.2,South,26
510,27,42500,230,4.3,East,13
511,30,49000,310,5.1,North,16
512,44,65000,500,8.1,South,22
513,42,63500,530,8.3,South,23
514,49,69500,600,9.0,West,25
515,46,66000,500,8.0,North,24
516,38,61500,480,7.4,East,21
517,51,70500,620,9.0,North,26
518,40,62500,480,7.6,West,23
519,25,41500,210,4.0,North,14
520,42,63500,500,7.9,West,23
521,37,55500,430,6.8,North,20
522,49,69500,560,8.5,North,24
523,40,61000,490,7.8,South,21
524,50,70500,610,9.2,North,26
525,32,49500,300,4.7,North,16
526,44,64500,500,7.9,South,22
527,32,51000,350,5.6,West,18
528,50,70000,610,9.2,West,24
529,41,62500,480,8.1,South,21
530,44,63500,470,7.7,South,21
531,28,48000,280,4.7,West,16
532,29,46000,210,4.6,North,12
533,52,71000,610,9.0,South,26
534,42,60000,480,7.8,West,23
535,24,41500,230,4.1,North,13
536,40,60500,440,7.1,West,18
537,33,53500,390,6.2,West,19
538,39,60000,440,6.9,East,22
539,51,71000,610,9.0,West,24
540,30,49000,300,5.0,West,16
541,47,67500,530,8.2,North,22
542,51,72500,610,9.1,West,26
543,33,51500,340,5.4,West,17
544,55,75000,640,9.4,West,28
545,34,54000,370,5.9,South,18
546,27,44000,240,4.0,North,15
547,32,51000,340,5.7,South,17
548,37,54500,410,6.7,North,18
549,44,64000,540,8.2,South,24
550,50,67500,560,8.3,West,23
551,27,44500,210,4.3,North,12
552,51,69500,590,8.9,West,25
553,36,55000,370,6.3,West,18
554,33,53500,390,6.0,West,18
555,27,44500,220,3.9,North,14
556,52,75000,640,9.5,West,27
557,46,65000,520,8.1,North,23
558,33,51500,350,5.8,West,17
559,28,46000,240,4.2,North,14
560,30,47000,290,4.9,North,16
561,27,43000,230,4.1,North,14
562,36,59000,430,6.9,North,19
563,26,46000,210,4.8,West,11
564,50,73000,590,9.1,North,25
565,34,54500,390,6.1,North,20
566,49,70000,610,9.2,West,25
567,53,74000,630,9.5,South,27
568,51,70500,610,9.0,North,25
569,45,64000,480,7.7,South,21
570,54,72500,630,9.4,South,27
571,32,51000,340,5.8,South,17
572,35,56500,410,6.7,West,19
573,48,68000,520,8.3,North,22
574,39,57000,460,7.2,South,22
575,23,31500,150,3.0,South,10
576,48,70500,560,8.7,North,24
577,44,62500,480,7.7,North,21
578,55,75000,640,9.5,West,28
579,55,75000,640,9.4,South,27
580,41,61500,480,7.8,West,23
581,39,58500,450,7.3,South,22
582,34,53000,380,6.0,South,18
583,26,43000,220,3.9,North,14
584,25,33000,170,3.2,South,11
585,37,57000,410,6.9,West,20
586,31,49000,240,5.1,North,14
587,40,58500,470,7.2,South,21
588,39,56500,450,7.0,South,22
589,52,72500,620,9.2,West,26
590,43,63500,530,8.3,North,24
591,30,48500,260,4.4,North,14
592,37,55000,410,6.5,West,19
593,51,70500,610,9.0,West,25
594,28,44000,220,4.0,North,13
595,33,52500,350,5.7,South,18
596,45,64500,490,8.0,South,21
597,39,57000,430,7.1,West,20
598,40,61500,460,7.4,West,21
599,42,62000,480,7.7,South,22
600,42,63500,500,8.0,South,22
601,55,74500,620,9.3,South,27
602,33,52500,360,5.7,West,18
603,32,53000,370,6.1,North,18
604,42,61000,520,8.2,North,23
605,45,66500,500,8.1,South,22
606,26,43500,250,4.2,North,13
607,51,71000,600,8.8,North,25
608,28,45000,260,4.5,North,15
609,48,68500,560,8.5,West,24
610,52,73500,640,9.4,West,28
611,47,68000,530,8.3,South,24
612,32,52000,380,6.2,South,18
613,26,35000,190,3.4,South,11
614,25,43500,220,3.9,North,13
615,41,60000,480,7.7,South,21
616,26,44000,260,4.6,North,15
617,55,73500,630,9.5,South,27
618,29,47000,260,4.3,West,16
619,33,53500,360,6.0,West,18
620,29,50500,330,5.4,North,17
621,52,72000,620,9.5,South,27
622,50,70500,620,9.1,North,25
623,39,57500,450,7.2,South,22
624,39,61000,440,6.9,West,21
625,25,44000,230,4.2,North,15
626,28,46000,190,4.5,North,12
627,25,33500,180,3.4,South,10
628,47,66500,540,8.2,West,23
629,42,62500,540,8.3,South,23
630,55,74500,620,9.2,West,26
631,49,68500,580,8.9,West,25
632,29,47500,290,4.8,North,17
633,41,61000,470,7.6,West,22
634,28,46000,270,4.1,North,15
635,24,40500,220,4.1,North,14
636,52,72500,590,9.0,South,25
637,25,34000,190,3.4,South,11
638,50,71000,600,9.2,West,25
639,40,56500,450,7.0,South,22
640,41,59500,480,7.8,South,20
641,55,75000,640,9.3,West,28
642,38,60500,450,7.1,North,21
643,26,41000,190,3.4,North,12
644,54,74000,630,9.3,West,28
645,26,39500,180,3.5,North,12
646,47,66000,560,8.6,West,22
647,25,32500,190,3.5,West,13
648,46,64000,480,7.9,North,20
649,41,64500,510,8.3,South,23
650,55,73000,620,9.3,South,26
651,35,55000,360,6.0,South,17
652,31,51500,330,5.6,West,18
653,41,60500,470,7.5,West,22
654,22,30000,170,3.3,West,12
655,35,55500,360,7.0,South,18
656,32,52500,370,5.6,South,18
657,36,54000,400,6.5,North,20
658,32,51500,350,5.6,West,18
659,50,69000,600,8.8,West,25
660,28,46500,260,4.1,North,15
661,55,75000,620,9.2,West,27
662,41,60000,450,7.3,West,21
663,46,67000,520,8.1,South,22
664,40,60500,460,7.4,West,20
665,35,54500,390,6.2,South,17
666,45,66000,490,7.8,North,22
667,32,52000,320,5.4,North,15
668,43,63500,490,7.7,South,23
669,52,70500,630,9.4,North,25
670,55,74500,640,9.4,South,27
671,51,72500,620,9.3,West,27
672,51,73000,630,9.4,West,27
673,38,55000,410,6.8,North,19
674,40,61000,450,7.0,West,21
675,26,44500,210,4.5,North,12
676,34,51500,390,6.2,West,18
677,26,44000,220,4.0,North,13
678,29,44000,240,4.4,North,15
679,33,54000,390,6.3,West,20
680,30,45000,270,4.5,North,15
681,35,56000,420,6.5,South,19
682,51,71500,600,8.9,West,25
683,47,68500,540,8.4,North,23
684,33,53000,350,5.7,West,17
685,53,74500,630,9.4,West,27
686,26,44000,230,4.1,North,14
687,51,67500,560,8.7,West,24
688,29,46000,250,4.2,North,14
689,32,53000,370,5.9,South,18
690,32,51000,330,5.5,West,18
691,50,70500,600,9.1,North,26
692,44,66000,570,8.9,South,24
693,49,69000,600,9.0,North,24
694,34,53000,370,5.9,South,19
695,33,53500,390,6.1,North,18
696,27,44000,250,4.3,North,14
697,44,65500,510,8.1,South,23
698,32,52000,350,6.0,West,16
699,55,73500,630,9.4,West,28
700,50,70000,590,9.0,West,25
701,46,66000,520,8.3,South,22
702,31,49500,350,5.7,North,17
703,50,69000,600,8.9,West,26
704,36,56500,400,6.7,East,20
705,54,75000,640,9.5,South,28
706,41,62500,510,8.2,South,23
707,32,53000,380,6.3,South,18
708,41,59500,460,7.2,South,21
709,27,42500,210,3.8,North,14
710,29,48500,270,4.5,South,15
711,35,52500,380,6.6,West,19
712,28,43000,230,3.9,North,14
713,28,44500,240,4.3,North,15
714,27,46000,260,4.4,North,15
715,42,61500,440,7.4,North,21
716,31,50000,340,5.9,North,17
717,30,46500,260,4.6,South,15
718,34,53000,360,5.7,South,18
719,40,59500,460,7.8,West,21
720,25,33500,180,3.6,South,11
721,42,61000,470,7.4,West,22
722,46,65500,490,7.8,North,22
723,55,75000,640,9.4,West,27
724,45,66500,530,8.2,North,22
725,49,69000,590,8.9,West,24
726,40,61000,460,7.3,North,21
727,24,39000,190,3.7,North,12
728,55,74500,640,9.5,South,28
729,29,50000,340,5.7,West,16
730,55,74500,620,9.3,West,28
731,27,47500,240,5.2,North,13
732,36,55000,410,6.6,North,20
733,51,71000,610,8.9,West,25
734,45,64000,490,7.9,North,22
735,55,75000,620,9.3,South,27
736,36,57000,380,6.8,North,20
737,24,32000,190,3.6,South,12
738,41,61000,470,7.7,South,21
739,29,49500,260,4.9,North,14
740,24,32500,170,3.2,South,11
741,25,43000,220,4.1,North,13
742,48,68000,560,8.6,West,24
743,25,33000,180,3.5,South,12
744,55,75000,640,9.5,South,28
745,53,72000,600,9.1,West,26
746,26,41000,210,3.9,North,13
747,48,66000,550,8.3,North,24
748,55,75000,630,9.5,West,27
749,33,54000,380,6.0,South,18
750,43,66500,550,8.5,West,24
751,46,65000,500,7.9,North,21
752,31,52000,370,6.0,South,18
753,51,68500,560,8.6,West,25
754,46,66500,530,8.4,North,22
755,23,31500,180,3.6,South,11
756,55,74000,630,9.5,South,27
757,50,69000,560,8.6,West,24
758,29,45000,230,4.3,North,14
759,35,51500,380,6.2,North,18
760,50,68500,590,8.8,West,24
761,25,40000,210,4.0,East,14
762,52,71500,630,9.4,North,27
763,44,63500,460,7.7,South,21
764,46,67000,540,8.7,South,23
765,51,72500,640,9.5,West,25
766,41,60500,520,8.4,South,23
767,27,45000,220,4.2,West,14
768,24,45000,180,4.4,North,10
769,50,70000,620,9.2,North,25
770,41,60000,460,7.6,South,20
771,51,73000,620,9.3,West,25
772,51,71000,600,8.9,West,25
773,52,71500,600,9.0,West,25
774,44,65000,490,8.1,South,21
775,51,73500,610,9.2,West,25
776,43,63500,470,7.9,South,22
777,28,46500,260,4.2,North,14
778,47,67000,520,8.2,South,22
779,28,46000,250,4.0,North,14
780,39,56500,420,6.7,South,19
781,52,71500,620,9.2,West,26
782,29,44500,240,4.0,North,15
783,50,70000,590,9.0,West,24
784,34,54000,390,6.1,West,19
785,40,59000,480,7.7,South,23
786,41,61000,460,7.3,West,21
787,50,71500,600,9.1,North,25
788,43,64000,520,8.4,South,22
789,26,33000,190,3.4,South,13
790,39,59000,440,7.3,West,20
791,43,63500,480,7.8,South,21
792,49,68000,550,8.3,West,24
793,51,71500,630,9.2,North,26
794,43,65000,500,8.0,South,22
795,40,59500,450,7.4,West,21
796,54,75000,640,9.5,West,27
797,49,69000,570,8.7,West,24
798,45,67000,540,8.5,South,23
799,52,73000,640,9.5,West,27
800,31,51000,330,5.7,South,18
801,34,51500,390,6.2,North,18
802,41,60000,450,7.3,South,20
803,54,71000,600,9.3,South,26
804,50,70000,570,8.6,West,24
805,54,72500,610,9.2,West,27
806,51,70500,570,8.6,West,24
807,25,40500,200,3.5,North,13
808,51,70500,600,9.0,West,26
809,31,49500,290,4.8,South,17
810,48,66500,520,8.0,North,24
811,31,52000,360,5.6,South,17
812,36,57500,400,6.6,West,19
813,22,30000,150,3.0,South,10
814,43,63000,530,8.2,South,22
815,49,68500,580,8.9,West,25
816,45,65500,490,8.1,South,22
817,55,75000,630,9.4,West,27
818,46,66500,510,8.1,North,22
819,41,62000,490,7.9,South,20
